X,Y,Z
0.08787293298558754,0.3562784755643765,0.1134500249330489
-0.05344793311306478,-0.09451983027364053,-0.6959737241621624
-0.05344793311306478,-0.09451983027364053,-0.6959737241621624
-0.05344793311306478,-0.09451983027364053,-0.6959737241621624
-0.05344793311306478,-0.09451983027364053,-0.6959737241621624
-0.054517793666515504,-0.094529846490076,-0.6960123566273922
-0.05464487131152723,-0.09458384508134261,-0.6960096615664868
-0.05464487131152723,-0.09458384508134261,-0.6960096615664868
-0.054771867887285317,-0.09463803125420242,-0.6960069106593036
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.0559687534904864,-0.0947018625204541,-0.6960405819500985
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.05584182166679674,-0.0946475377572005,-0.6960435771639563
-0.056095603636751395,-0.09475637464129169,-0.6960375310243145
-0.056095603636751395,-0.09475637464129169,-0.6960375310243145
-0.05502561663589091,-0.0947469658342392,-0.6960012413321286
-0.056222371807100976,-0.09481107399144098,-0.6960344243937835
-0.055152368211643016,-0.09480171398508254,-0.6959983229254771
-0.055152368211643016,-0.09480171398508254,-0.6959983229254771
-0.05527903752395205,-0.09485664920485239,-0.695995348699229
-0.05527903752395205,-0.09485664920485239,-0.695995348699229
-0.05527903752395205,-0.09485664920485239,-0.695995348699229
-0.0540824230850698,-0.0947919420542705,-0.6959606326679078
-0.0540824230850698,-0.0958243157464957,-0.6958192401864512
-0.0539556884021739,-0.09576952291204768,-0.6958220516839559
-0.052759022018280484,-0.09570457690272444,-0.695785166824894
-0.05143542790141176,-0.09558497611400328,-0.6957485270248049
-0.051181295285739684,-0.09547687942062398,-0.6957528893578291
-0.04960249096284871,-0.09525137646680926,-0.6957166104245249
-0.046910824412054186,-0.09511879489489895,-0.6956295378982145
-0.04516102483859282,-0.09494928129732533,-0.6955848479285838
-0.04204513573434915,-0.0947729999284806,-0.6954809533408006
-0.03854575897056969,-0.09033097006926155,-0.6959072089563074
-0.034087877746375124,-0.0780948588152089,-0.6971070590570279
-0.028282039059720973,-0.06683833265785274,-0.6978702397538066
-0.020673051196392175,-0.052549520372636216,-0.6983643531710261
-0.013233353077416868,-0.03500981326794824,-0.6982920992698848
-0.005471655594292524,-0.016496044175040227,-0.6973126054707576
0.003337617742559782,0.005136248867363864,-0.6951374935631671
0.010740587233855826,0.02913089918754931,-0.6916025520693087
0.01767260938701954,0.05020174367737093,-0.6871169590468595
0.024426745228899815,0.07330323479929421,-0.681142502508532
0.03188019773614705,0.09685301032788991,-0.6738550490558091
0.03705949261761695,0.12103597651520541,-0.6655507445573847
0.043599662258674766,0.1466271200232525,-0.6550009386242742
0.048032006332421,0.16975853418496342,-0.6446565953741287
0.05345249633681738,0.19268083445408085,-0.6331092622490917
0.0584247407281918,0.2151873959931822,-0.6207611365226225
0.06427346333292024,0.23844542017798956,-0.6067500340945028
0.0687190866384793,0.2627925974083131,-0.5910460297957778
0.07235210497470641,0.28417939878281673,-0.576145637840593
0.07669500962923897,0.3052593014591669,-0.5600785783656084
0.07986529887491407,0.3252590719500827,-0.5438012594514883
0.08402072279014819,0.3452150014620024,-0.5256836279387678
0.08643458374002683,0.36382513148597995,-0.5080525280298065
0.08946240743347977,0.38238933571865935,-0.4885303636794388
0.09253273506836872,0.39836491153340936,-0.46967851885372514
0.09566677784893574,0.41560716999809927,-0.4474581277387652
0.09805438891236541,0.4295923755507416,-0.4278417759802336
0.09961167052509004,0.4432593790432201,-0.40758905061137307
0.10119134716316118,0.4552859978978504,-0.3879076787813294
0.10240719640905174,0.46651787396972055,-0.36788439454052707
0.10324014096680216,0.4774671829752622,-0.34717352085169734
0.1040854003846845,0.4879061506767971,-0.3247600254015053
0.10453374712466114,0.49637699420926196,-0.30446072020484455
0.10539104878387065,0.5043481879129819,-0.2828597942921066
0.10550449574201762,0.5114622489982041,-0.2623940442624323
0.10638483709984219,0.5173606141649748,-0.2422569581297116
0.10691563281895647,0.5224302522693659,-0.22231185990458166
0.10829567021052708,0.5261238613201014,-0.20180798422505888
0.10886900302729702,0.5291278078514505,-0.1823238477853304
0.1094575809932977,0.5317403867523489,-0.16111174992470684
0.10974726917192401,0.5333573134678646,-0.14245751351775102
0.1095317926331972,0.534507381891778,-0.1233347876035526
0.10944982539380448,0.5350002446070738,-0.10607624292896925
0.11052790260501738,0.5346996070528807,-0.08718289926817768
0.11034721557544773,0.5340167281867285,-0.06881715543508268
0.10919646472403488,0.5331026954122631,-0.05214241325739116
0.10904565165749287,0.5315560651592224,-0.03627576535094257
0.10751789871653607,0.529867250505026,-0.019938093966646225
0.10696311483229114,0.5274570889294523,-0.005028365607414653
0.10572868250329981,0.5246021640066425,0.00979443826645135
0.10408470180469609,0.5218683794537626,0.024228297269384635
0.10245903159703995,0.5192045101447943,0.037384687567331626
0.10041289393255941,0.5162202969987739,0.04994891229730131
0.09904058952542141,0.512663815231674,0.0625010255376964
0.09744175118278728,0.5087215671007718,0.07472970200408605
0.09629859362164978,0.5045314104988278,0.08650187354872091
0.09450168188330121,0.5007854611984186,0.09640743042955421
0.09314423699537344,0.49665710078411884,0.10668687130182564
0.09199192782088678,0.4922405692756772,0.1164275920003695
0.09083828495553012,0.48782371531660196,0.125926606011147
0.09012045920656932,0.48301448153435805,0.135768156701452
0.08957648846381193,0.4777567574275401,0.145149815805474
0.08841845258091155,0.47295155519269805,0.15474406904121293
0.08744519959096764,0.46848564960742645,0.16299291867906043
0.08585920875344097,0.464181587293873,0.17163578229857482
0.08533673900230107,0.45959777237995275,0.1799685517198325
0.08419246450033444,0.455001683271576,0.1881598954089992
