q1,q2,q3,q4,q5
-1.223912138,2.336252873,-3.03268019,-1.229409925,2.62436433
-0.999899128,2.357728605,-3.009670477,-0.950855376,2.815739682
-0.772919059,2.434427649,-2.897689873,-0.69987703,2.898817355
-0.508850743,2.535670387,-2.696738379,-0.604232987,3.087225647
-0.256650667,2.641515067,-2.517262616,-0.559901624,3.326073956
-0.034121187,2.7350879,-2.377670356,-0.503352956,3.505581069
0.21511183,2.817922868,-2.265689753,-0.531278224,3.720692899
0.458410728,2.896155892,-2.110757684,-0.608072711,3.797836452
0.636434312,2.954447166,-1.868388706,-0.694291976,3.802287042
0.716544924,2.959049108,-1.742602274,-0.723962574,3.867562356
0.637917842,2.914563663,-1.802427528,-0.722217244,3.879430595
0.425773071,2.845534523,-1.992641157,-0.701273293,3.886848244
0.148352986,2.753495671,-2.210466441,-0.68975412,3.848276468
-0.191375352,2.676796627,-2.412951917,-0.680329342,3.802287042
-0.563741348,2.638447105,-2.586291756,-0.680329342,3.783001154
-0.968745001,2.661456818,-2.745825767,-0.680329342,3.699923481
-1.342594527,2.702874302,-2.943709299,-0.692895713,3.670252884
-1.615564022,2.732019939,-3.129320985,-0.749793447,3.554537555
-1.844027621,2.761165575,3.035748152,-0.845088424,3.504097539
-2.030952384,2.778039365,2.897689873,-0.939685269,3.474426942
-2.111062997,2.791845193,2.819456849,-0.989601686,3.517449308
-2.068040631,2.759631594,2.779573346,-0.929911425,3.533768137
-1.894467637,2.690602455,2.773437422,-0.837408975,3.50113048
-1.615564022,2.623107297,2.917631625,-0.766199542,3.478877532
-1.281769803,2.587825736,-3.094039425,-0.696735437,3.511515189
-0.925722635,2.567883985,-2.788777231,-0.64856435,3.649483466
-0.532587221,2.567883985,-2.538738348,-0.638790506,3.71624231
-0.172089464,2.61083545,-2.304039274,-0.649611548,3.757781146
0.154287106,2.679864589,-2.126097493,-0.677536816,3.809704691
0.427256601,2.750427709,-1.952757654,-0.699527964,3.828990579
0.642368431,2.80411704,-1.808563452,-0.747349986,3.828990579
0.821875545,2.824058791,-1.678175077,-0.784700032,3.831957639
0.838194373,2.793379174,-1.6122139,-0.799011732,3.849759998
0.636434312,2.715146149,-1.742602274,-0.786794427,3.845309408
0.370882466,2.630777201,-1.955825616,-0.76550141,3.845309408
0.041538836,2.538738348,-2.218136345,-0.762708883,3.817122341
-0.361981287,2.457437362,-2.572485928,-0.758869159,3.732561138
-0.792204947,2.437495611,-2.888485988,-0.767246739,3.642065817
-1.207593309,2.452835419,-3.199884106,-0.782605637,3.480361061
-1.569574596,2.474311152,2.805651021,-0.823795407,3.376513971
-1.900401756,2.515728635,2.580155832,-0.892561379,3.260798642
-2.103645347,2.569417966,2.501922807,-1.01368723,3.262282171
-2.145184184,2.574019909,2.485049018,-1.100953692,3.266732761
-2.047271213,2.520330578,2.472777171,-1.059414856,3.290469239
-1.818807614,2.426757744,2.524932521,-0.949459113,3.291952769
-1.492431043,2.337786854,2.744291786,-0.856258531,3.369096322
-1.08742739,2.284097523,-3.127787004,-0.803200522,3.483328121
-0.664621379,2.264155772,-2.715146149,-0.793077612,3.578274032
-0.234397719,2.305573255,-2.314777141,-0.805643983,3.665802294
0.123132979,2.403748031,-1.965029501,-0.824842604,3.71030819
0.424289541,2.526466501,-1.719592561,-0.840550568,3.759264676
0.643851961,2.639981086,-1.530912913,-0.859051058,3.781517624
0.75956729,2.667592742,-1.449611927,-0.870221165,3.778550564
0.676489618,2.604699526,-1.544718741,-0.879296877,3.774099975
0.496982505,2.511126693,-1.751806159,-0.879296877,3.751847027
0.275936555,2.414485897,-1.972699405,-0.893259511,3.71624231
-0.10681415,2.327048988,-2.308641217,-0.893608577,3.640582287
-0.593411946,2.297903351,-2.696738379,-0.893957643,3.49519636
-1.09187798,2.330116949,-3.081767578,-0.895702972,3.38689868
-1.502815752,2.412951917,2.897689873,-0.900589894,3.179204499
-1.820291143,2.500388826,2.618505354,-0.924326372,2.995246796
-2.008699436,2.569417966,2.501922807,-1.040914366,2.854311459
-2.069524161,2.609301469,2.532602425,-1.185078562,2.869146757
-2.035402974,2.574019909,2.574019909,-1.254542666,2.968543258
-1.842544091,2.497320865,2.621573316,-1.206720645,2.873597347
-1.547321648,2.409883955,2.690602455,-1.141445331,2.898817355
-1.149735645,2.353126662,2.952913185,-1.055226066,2.958158549
-0.735830813,2.333184911,-2.99739863,-0.929213294,3.084258588
-0.370882466,2.346990739,-2.7350879,-0.818210353,3.244479813
-0.066758844,2.422155802,-2.351592682,-0.783652834,3.363162202
0.127583568,2.475845132,-1.988039214,-0.71837752,3.566405794
0.403520123,2.546408253,-1.693514886,-0.762708883,3.646516406
0.65423667,2.632311182,-1.445009984,-0.787492558,3.652450526
0.755116701,2.676796627,-1.294679859,-0.791681349,3.653934056
0.709127275,2.624641277,-1.458815812,-0.793426678,3.576790503
0.54445546,2.535670387,-1.756408102,-0.810530905,3.346843374
0.286321264,2.455903381,-2.130699436,-0.845088424,3.197006857
-0.069725904,2.399146089,-2.581689813,-0.867428638,3.010082094
-0.480663676,2.389942203,-3.021942324,-0.926420767,2.72821142
-0.900502628,2.43596163,2.900757835,-1.019621349,2.415186619
-1.320341579,2.512660673,2.624641277,-1.118057919,2.306888939
-1.698641695,2.623107297,2.449767458,-1.160643953,2.256448923
-2.017600615,2.722816053,2.333184911,-1.162389282,2.160019482
-2.18375596,2.790311212,2.40221405,-1.23150432,2.238646565
-2.158535952,2.799515097,2.480447075,-1.33412968,2.312823058
-1.990897078,2.718214111,2.468175228,-1.319468915,2.360296014
-1.74759818,2.603165545,2.451301438,-1.179144443,2.367713663
-1.410836901,2.488116979,2.511126693,-1.011243769,2.435956037
-1.016217957,2.409883955,2.690602455,-0.838456173,2.533869008
-0.624566073,2.403748031,3.031146209,-0.744906525,2.814256152
-0.335277749,2.442097553,-2.913029682,-0.634950782,2.94925737
-0.057857665,2.515728635,-2.504990769,-0.605978316,3.247446873
0.194342412,2.61083545,-2.080078067,-0.591317551,3.465525763
0.428740131,2.719748092,-1.759476064,-0.585732497,3.550086965
0.587477826,2.834796657,-1.486427468,-0.58712876,3.596076391
0.673522558,2.903825797,-1.300815782,-0.625526004,3.526350487
0.686874327,2.867010256,-1.518641066,-0.627271333,3.438822225
0.523686042,2.748893728,-2.006446985,-0.58712876,3.17327038
0.261101256,2.650718952,-2.475845132,-0.591317551,2.903267944
-0.069725904,2.597029622,-2.899223854,-0.680678408,2.701507883
-0.459894258,2.592427679,3.012738439,-0.836710843,2.51309959
-0.884183799,2.643049048,2.730485958,-0.986809159,2.459692515
-1.275835683,2.727417996,2.552544176,-1.070934029,2.348427775
-1.599245194,2.808718982,2.477379113,-1.148077582,2.100678288
-1.8529288,2.871612198,2.475845132,-1.210909435,2.030952384
-2.048754742,2.903825797,2.485049018,-1.304110017,2.109579467
-2.091777109,2.905359778,2.537204368,-1.420698011,2.306888939
-1.907819405,2.854738409,2.587825736,-1.430471855,2.309855999
-1.631882851,2.773437422,2.609301469,-1.276184749,2.329141887
-1.292154512,2.704408283,2.686000512,-1.100953692,2.330625417
-0.934623814,2.670660704,2.85780637,-0.939336203,2.478978403
-0.562257819,2.64611701,-3.199884106,-0.780511241,2.596177262
-0.203243591,2.652252933,-2.932971433,-0.668112038,2.62584786
0.075660023,2.698272359,-2.592427679,-0.595157275,2.792003204
0.296705973,2.750427709,-2.187456728,-0.533023554,3.027884453
0.485114266,2.819456849,-1.84077705,-0.545240858,3.137665663
0.578576647,2.905359778,-1.486427468,-0.586081563,3.136182133
0.629016662,2.966719013,-1.371378902,-0.613308699,3.094643297
0.614181364,2.914563663,-1.668971192,-0.57875118,3.048653871
0.43170719,2.814854906,-2.15524313,-0.580845575,2.903267944
0.097912971,2.721282073,-2.644583029,-0.651356877,2.676287875
-0.335277749,2.682932551,-3.08483554,-0.754331303,2.544253717
-0.790721418,2.724350034,2.919165605,-0.842644963,2.449307806
-1.210560369,2.805651021,2.728951977,-0.907222145,2.435956037
-1.559189887,2.906893758,2.633845163,-0.960978286,2.343977185
-1.799521725,2.972854936,2.604699526,-1.062207383,2.179305371
-1.944907652,-3.282719073,2.626175258,-1.219985147,2.192657139
-1.980512369,-3.282719073,2.672194685,-1.353328302,2.542770187
-1.86182998,2.954447166,2.718214111,-1.343554458,2.51606665
-1.630399321,2.896155892,2.767301499,-1.228013662,2.481945463
-1.339627467,2.827126753,2.82252481,-1.060112988,2.462659575
-1.017701487,2.759631594,2.911495701,-0.877551548,2.520517239
-0.688357857,2.724350034,3.048019999,-0.729896693,2.627331389
-0.32637657,2.725884015,-3.005068534,-0.649262482,2.700024353
-0.011868239,2.762699556,-2.710544206,-0.56443948,2.83502557
0.203243591,2.802583059,-2.359262586,-0.490786586,3.079807998
0.370882466,2.851670447,-1.99877708,-0.477173017,3.326073956
0.513301333,2.905359778,-1.668971192,-0.544542727,3.260798642
0.569675468,2.937573376,-1.483359506,-0.633554518,3.229644514
0.563741348,2.90996172,-1.710388676,-0.624478806,3.229644514
0.360497757,2.830194715,-2.19052469,-0.479616478,3.223710395
0.047472956,2.782641308,-2.779573346,-0.41469023,3.115412715
-0.281870674,2.794913155,-3.133922928,-0.483805269,2.978927967
-0.626049603,2.834796657,2.865476275,-0.584685299,2.875080877
-0.959843822,2.919165605,2.695204398,-0.709650874,2.766783197
-1.247648616,-3.270447226,2.632311182,-0.860796387,2.673320815
-1.501332223,-3.176874392,2.647650991,-1.010894703,2.50716547
-1.704575814,-3.123185062,2.702874302,-1.180889772,2.444857216
-1.823258203,-3.115515157,2.76883548,-1.298874029,2.476011343
-1.768367598,-3.147728756,2.781107327,-1.335875009,2.542770187
-1.535453409,-3.216757895,2.747359747,-1.228013662,2.597660792
-1.216494489,-3.293456939,2.725884015,-0.986460093,2.590243143
-0.900502628,2.922233567,2.741223824,-0.734434549,2.608045501
-0.578576647,2.890019969,2.865476275,-0.573864258,2.645133748
-0.307090682,2.890019969,2.99739863,-0.447851486,2.783102025
-0.066758844,2.897689873,-3.034214171,-0.299149434,2.980411497
0.195825942,2.906893758,-2.589359717,-0.261101256,3.223710395
0.43319072,2.94524328,-2.241146059,-0.404218255,3.440305755
0.609730774,-3.276583149,-1.98036931,-0.537910475,3.573823443
0.661654319,-3.258175379,-1.843845012,-0.56862827,3.446239875
0.526653102,2.943709299,-2.233476154,-0.455181869,3.375030441
0.145385927,2.879282103,-2.963651051,-0.287630261,3.082775058
-0.200276532,2.894621911,2.850136466,-0.350462114,2.793486734
-0.504400154,2.932971433,2.658388857,-0.515570261,2.659969047
-0.823359075,-3.285787035,2.526466501,-0.651705943,2.467110164
-1.127482697,-3.215223914,2.498854846,-0.809483707,2.330625417
-1.382649833,-3.152330698,2.517262616,-0.967261471,2.320240708
-1.584409895,-3.107845253,2.581689813,-1.145983187,2.265350103
-1.717927583,-3.094039425,2.689068474,-1.36694187,2.222327737
-1.765400538,-3.098641368,2.790311212,-1.507266342,2.40480191
-1.649685209,-3.129320985,2.807185002,-1.431169987,2.382548962
-1.397485132,-3.19068022,2.745825767,-1.221032345,2.339526596
-1.108196809,-3.25970936,2.692136436,-0.965516142,2.345460715
-0.821875545,2.972854936,2.721282073,-0.761661686,2.430021918
-0.562257819,2.936039395,2.807185002,-0.600393263,2.570957255
-0.321925981,2.916097644,2.960583089,-0.471238898,2.664419636
-0.115715329,2.888485988,3.048019999,-0.344527994,2.886949116
0.060824724,2.871612198,-3.048019999,-0.203156325,3.142116252
0.246265957,2.87468016,-2.773437422,-0.144862328,3.297886888
0.388684824,2.908427739,-2.649184971,-0.18675023,3.39134927
0.373849526,2.937573376,-2.580155832,-0.231081593,3.380964561
0.151320046,2.923767548,-2.75196169,-0.236317581,3.259315112
-0.145385927,2.89155395,3.017340381,-0.253072742,3.06200564
-0.373849526,2.897689873,2.810252963,-0.405265452,2.876564407
-0.522202512,2.914563663,2.773437422,-0.609818041,2.873597347
-0.620115483,2.929903472,2.764233537,-0.788539756,2.812772623
-0.661654319,2.937573376,2.778039365,-1.002866188,2.793486734
-0.631983722,2.936039395,2.816388887,-1.206371579,2.751947898
-0.498466034,2.922233567,2.883884045,-1.40394285,2.61843021
-0.525169572,2.905359778,2.755029652,-1.400452192,2.768266727
-0.663137849,2.90996172,2.434427649,-1.329242758,2.585792553
-0.749182581,2.929903472,2.188990709,-1.313185729,2.584309023
-0.805556716,2.951379204,1.948155711,-1.313185729,2.588759613
-0.815941425,2.974388917,1.796291605,-1.291543646,2.565023135
-0.858963791,-3.293456939,1.846912974,-1.262222115,2.560572546
-1.016217957,-3.291922958,1.937417845,-1.251052008,2.627331389
-1.266934504,-3.298058882,1.971165425,-1.243721625,2.640683158
-1.553255768,-3.296524901,1.961961539,-1.233947781,2.649584337
-1.820291143,-3.290388977,1.922078037,-1.222777674,2.659969047
-2.035402974,-3.287321015,1.940485807,-1.195899603,2.597660792
-2.1807889,-3.298058882,2.007980966,-1.20288092,2.640683158
-2.284635991,2.975922898,2.090815933,-1.23150432,2.648100808
-2.309855999,2.97899086,2.161379053,-1.289449251,2.743046719
-2.174854781,2.974388917,2.152175168,-1.312138532,2.794970264
-1.928588823,2.971320955,2.107689722,-1.268854366,2.812772623
-1.670454627,2.948311242,2.001845042,-1.204277184,2.827607921
-1.397485132,2.920699586,1.954291635,-1.160993018,2.84095969
-1.121548577,2.906893758,1.978835329,-1.128180828,2.84392675
-0.850062612,2.897689873,2.026388736,-1.088736387,2.84541028
-0.623082543,2.890019969,2.055534373,-1.062207383,2.84095969
-0.468795437,2.880816084,2.061670296,-1.062207383,2.857278518
-0.363464817,2.882350064,2.129165455,-1.052084473,2.876564407
-0.416871892,2.877748122,2.165980996,-1.046848485,2.876564407
-0.611214304,2.865476275,2.233476154,-1.048244749,2.912169123
-0.845612023,2.845534523,2.31324316,-1.050339144,2.955191489
-1.103746219,2.833262676,2.351592682,-1.049990078,2.987829146
-1.373748654,2.831728696,2.328582968,-1.051386341,3.044203281
-1.617047552,2.845534523,2.316311121,-1.065348975,3.051620931
-1.844027621,2.867010256,2.320913064,-1.084896663,3.069423289
-2.005732376,2.876214141,2.368466471,-1.146681319,3.064972699
-2.091777109,2.893087931,2.468175228,-1.245117888,3.085742118
-2.103645347,2.897689873,2.501922807,-1.261873049,3.133215073
-1.987930018,2.882350064,2.466641247,-1.213352896,3.161402141
-1.769851128,2.860874332,2.389942203,-1.16762527,3.140632723
-1.495398103,2.82252481,2.365398509,-1.142841594,3.146566842
-1.171988593,2.790311212,2.397612108,-1.130275224,3.16288567
-0.861930851,2.778039365,2.446699496,-1.067792436,3.198490387
-0.560774289,2.764233537,2.472777171,-0.997281135,3.155468021
-0.240331838,2.756563633,2.540272329,-0.936194611,3.174753909
0.051923545,2.759631594,2.621573316,-0.885929128,3.219259805
0.281870674,2.761165575,2.672194685,-0.874060889,3.306788067
0.453960138,2.759631594,2.707476245,-0.85974919,3.309755127
0.489564855,2.745825767,2.675262646,-0.837408975,3.254864522
0.302640092,2.705942264,2.569417966,-0.86812677,3.250413932
-0.007417649,2.673728665,2.434427649,-0.899542696,3.228160984
-0.379783645,2.650718952,2.333184911,-0.915599726,3.192556268
-0.735830813,2.652252933,2.265689753,-0.959232957,3.179204499
-1.105229749,2.690602455,2.205864498,-0.991696081,3.127280954
-1.431606319,2.750427709,2.210466441,-1.052782605,3.106511536
-1.728312292,2.802583059,2.238078097,-1.099557429,3.085742118
-1.944907652,2.831728696,2.287165485,-1.111076602,3.004147975
-2.097711228,2.834796657,2.356194624,-1.142841594,3.064972699
-2.170404191,2.834796657,2.41908784,-1.166229006,3.066456229
-2.045787683,2.799515097,2.442097553,-1.205673447,3.142116252
